id,slug,name,kind,body_type,role,office,jurisdiction,country,term_start,term_end,official_url,wikidata_qid,unknowns,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at
125,anna-politkovskaya,Anna Politkovskaya,person,,"Journalist, Novaya Gazeta",,RU,RU,,,,,,published,2026-09-22T22:55:27Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:26Z,2026-09-22T22:55:27Z
126,dmitry-pavlyuchenkov,Dmitry Pavlyuchenkov,person,,"Former officer, Moscow police surveillance unit",,RU,RU,,,,,,published,2026-09-22T22:55:28Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:27Z,2026-09-22T22:55:28Z
127,mahmoud-ahmadinejad,Mahmoud Ahmadinejad,person,,President of Iran,,IR,IR,,,,,,published,2026-09-22T22:55:29Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:29Z,2026-09-22T22:55:29Z
128,jon-leyne,Jon Leyne,person,,"Tehran correspondent, BBC",,IR,IR,,,,,,published,2026-09-22T22:55:31Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:30Z,2026-09-22T22:55:31Z
129,rafael-correa,Rafael Correa,person,,President of Ecuador,,EC,EC,,,,,,published,2026-09-22T22:55:32Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:31Z,2026-09-22T22:55:32Z
130,lenin-moreno,Lenin Moreno,person,,President of Ecuador,,EC,EC,,,,,,published,2026-09-22T22:55:33Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:33Z,2026-09-22T22:55:33Z
131,adly-mansour,Adly Mansour,person,,Interim President of Egypt,,EG,EG,,,,,,published,2026-09-22T22:55:35Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:34Z,2026-09-22T22:55:35Z
132,abdel-fattah-el-sisi,Abdel Fattah el-Sisi,person,,President of Egypt,,EG,EG,,,,,,published,2026-09-22T22:55:36Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:35Z,2026-09-22T22:55:36Z
133,peter-greste,Peter Greste,person,,"Correspondent, Al Jazeera English",,EG,EG,,,,,,published,2026-09-22T22:55:37Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:37Z,2026-09-22T22:55:37Z
134,mohamed-fahmy,Mohamed Fahmy,person,,"Bureau Chief, Al Jazeera English, Cairo",,EG,EG,,,,,,published,2026-09-22T22:55:39Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:38Z,2026-09-22T22:55:39Z
135,baher-mohamed,Baher Mohamed,person,,"Producer, Al Jazeera English, Cairo",,EG,EG,,,,,,published,2026-09-22T22:55:40Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:39Z,2026-09-22T22:55:40Z
136,beata-szydlo,Beata Szydlo,person,,Prime Minister of Poland,,PL,PL,,,,,,published,2026-09-22T22:55:41Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:41Z,2026-09-22T22:55:41Z
137,andrzej-duda,Andrzej Duda,person,,President of Poland,,PL,PL,,,,,,published,2026-09-22T22:55:43Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:42Z,2026-09-22T22:55:43Z
138,hun-sen,Hun Sen,person,,Prime Minister of Cambodia,,KH,KH,,,,,,published,2026-09-22T22:55:44Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:43Z,2026-09-22T22:55:44Z
139,john-magufuli,John Magufuli,person,,President of Tanzania,,TZ,TZ,,,,,,published,2026-09-22T22:55:45Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:45Z,2026-09-22T22:55:45Z
140,aung-san-suu-kyi,Aung San Suu Kyi,person,,State Counsellor of Myanmar,,MM,MM,,,,,,published,2026-09-22T22:55:47Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:46Z,2026-09-22T22:55:47Z
141,wa-lone,Wa Lone,person,,"Reporter, Reuters",,MM,MM,,,,,,published,2026-09-22T22:55:48Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:47Z,2026-09-22T22:55:48Z
142,kyaw-soe-oo,Kyaw Soe Oo,person,,"Reporter, Reuters",,MM,MM,,,,,,published,2026-09-22T22:55:49Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:49Z,2026-09-22T22:55:49Z
143,king-salman,Salman bin Abdulaziz Al Saud,person,,King of Saudi Arabia,,SA,SA,,,,,,published,2026-09-22T22:55:51Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:50Z,2026-09-22T22:55:51Z
144,mohammed-bin-salman,Mohammed bin Salman,person,,Crown Prince of Saudi Arabia,,SA,SA,,,,,,published,2026-09-22T22:55:52Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:51Z,2026-09-22T22:55:52Z
145,jamal-khashoggi,Jamal Khashoggi,person,,"Columnist, The Washington Post",,SA,SA,,,,,,published,2026-09-22T22:55:53Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:53Z,2026-09-22T22:55:53Z
146,nicolas-maduro,Nicolas Maduro,person,,President of Venezuela,,VE,VE,,,,,,published,2026-09-22T22:55:54Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:54Z,2026-09-22T22:55:54Z
147,scott-morrison,Scott Morrison,person,,"Prime Minister of Australia, 2018-2022",,AU,AU,,,,,,published,2026-09-22T22:55:56Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:55Z,2026-09-22T22:55:56Z
148,dan-oakes,Dan Oakes,person,,"Investigative journalist, ABC",,AU,AU,,,,,,published,2026-09-22T22:55:57Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:56Z,2026-09-22T22:55:57Z
149,david-cameron,David Cameron,person,,Prime Minister of the United Kingdom,,GB,GB,,,,,,published,2026-09-22T22:55:58Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:58Z,2026-09-22T22:55:58Z
150,david-miranda,David Miranda,person,,Partner of journalist Glenn Greenwald,,BR,BR,,,,,,published,2026-09-22T22:56:00Z,2026-09-22,2026-12-22,1,2026-09-22T22:55:59Z,2026-09-22T22:56:00Z
151,glenn-greenwald,Glenn Greenwald,person,,"Journalist, The Guardian",,GB,GB,,,,,,published,2026-09-22T22:56:01Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:00Z,2026-09-22T22:56:01Z
152,alan-rusbridger,Alan Rusbridger,person,,"Editor-in-chief, The Guardian",,GB,GB,,,,,,published,2026-09-22T22:56:02Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:02Z,2026-09-22T22:56:02Z
153,slobodan-milosevic,Slobodan Milosevic,person,,President of the Federal Republic of Yugoslavia,,RS,RS,,,,,,published,2026-09-22T22:56:04Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:03Z,2026-09-22T22:56:04Z
154,laura-kelly,Laura Kelly,person,,Governor of Kansas,,US-KS,US,,,,,,published,2026-09-22T22:56:05Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:05Z,2026-09-22T22:56:05Z
155,tim-walz,Tim Walz,person,,Governor of Minnesota,,US-MN,US,,,,,,published,2026-09-22T22:56:07Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:06Z,2026-09-22T22:56:07Z
156,minnesota-state-patrol,Minnesota State Patrol,body,law_enforcement,State police agency,,US-MN,US,,,,,,published,2026-09-22T22:56:08Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:07Z,2026-09-22T22:56:08Z
157,jacob-frey,Jacob Frey,person,,Mayor of Minneapolis,,US-MN,US,,,,,,published,2026-09-22T22:56:10Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:09Z,2026-09-22T22:56:10Z
158,minneapolis-police-department,Minneapolis Police Department,body,law_enforcement,Municipal police department,,US-MN,US,,,,,,published,2026-09-22T22:56:11Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:10Z,2026-09-22T22:56:11Z
159,us-department-of-homeland-security,U.S. Department of Homeland Security,body,agency,Federal department deploying officers to Portland in 2020,,US,US,,,,,,published,2026-09-22T22:56:13Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:12Z,2026-09-22T22:56:13Z
160,us-department-of-health-and-human-services,U.S. Department of Health and Human Services,body,agency,Federal health department overseeing the CDC,,US,US,,,,,,published,2026-09-22T22:56:14Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:13Z,2026-09-22T22:56:14Z
161,michael-caputo,Michael Caputo,person,,"HHS Assistant Secretary for Public Affairs, 2020",,US,US,,,,,,published,2026-09-22T22:56:15Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:15Z,2026-09-22T22:56:15Z
162,joe-biden,Joe Biden,person,,"President of the United States, 2021-2025",,US,US,,,,,,published,2026-09-22T22:56:17Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:16Z,2026-09-22T22:56:17Z
163,merrick-garland,Merrick Garland,person,,"United States Attorney General, 2021-2025",,US,US,,,,,,published,2026-09-22T22:56:18Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:18Z,2026-09-22T22:56:18Z
164,gideon-cody,Gideon Cody,person,,"Chief of Police, Marion, Kansas, 2023",,US-KS,US,,,,,,published,2026-09-22T22:56:20Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:19Z,2026-09-22T22:56:20Z
165,marion-police-department,Marion Police Department,body,law_enforcement,Municipal police department,,US-KS,US,,,,,,published,2026-09-22T22:56:21Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:20Z,2026-09-22T22:56:21Z
166,doug-ducey,Doug Ducey,person,,"Governor of Arizona, 2015-2023",,US-AZ,US,,,,,,published,2026-09-22T22:56:22Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:22Z,2026-09-22T22:56:22Z
167,arizona-legislature,Arizona Legislature,body,legislature,State legislature,,US-AZ,US,,,,,,published,2026-09-22T22:56:24Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:23Z,2026-09-22T22:56:24Z
168,karen-bass,Karen Bass,person,,Mayor of Los Angeles,,US-CA,US,,,,,,published,2026-09-22T22:56:25Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:25Z,2026-09-22T22:56:25Z
169,los-angeles-police-department,Los Angeles Police Department,body,law_enforcement,Municipal police department,,US-CA,US,,,,,,published,2026-09-22T22:56:27Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:26Z,2026-09-22T22:56:27Z
170,paramount-skydance,Paramount Skydance,body,other,"Media company, parent of CBS News",,US,US,,,,,,published,2026-09-22T22:56:28Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:28Z,2026-09-22T22:56:28Z
171,karoline-leavitt,Karoline Leavitt,person,,White House Press Secretary,,US,US,,,,,,published,2026-09-22T22:56:30Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:29Z,2026-09-22T22:56:30Z
172,steven-cheung,Steven Cheung,person,,White House Communications Director,,US,US,,,,,,published,2026-09-22T22:56:31Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:30Z,2026-09-22T22:56:31Z
173,tom-homan,Tom Homan,person,,White House Border Czar,,US,US,,,,,,published,2026-09-22T22:56:32Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:32Z,2026-09-22T22:56:32Z
174,u-s-immigration-and-customs-enforcement,U.S. Immigration and Customs Enforcement,body,law_enforcement,Federal immigration enforcement agency,,US,US,,,,,,published,2026-09-22T22:56:34Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:33Z,2026-09-22T22:56:34Z
175,u-s-customs-and-border-protection,U.S. Customs and Border Protection,body,law_enforcement,Federal border and customs agency,,US,US,,,,,,published,2026-09-22T22:56:35Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:34Z,2026-09-22T22:56:35Z
176,fbi,Federal Bureau of Investigation,body,law_enforcement,Federal law enforcement agency,,US,US,,,,,,published,2026-09-22T22:56:36Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:36Z,2026-09-22T22:56:36Z
177,royal-canadian-mounted-police,Royal Canadian Mounted Police,body,law_enforcement,"Canada's federal police, contracted for provincial policing in British Columbia",,CA-BC,CA,,,,,,published,2026-09-22T22:56:38Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:37Z,2026-09-22T22:56:38Z
178,john-horgan,John Horgan,person,,"Premier of British Columbia, 2017-2022",,CA-BC,CA,,,,,,published,2026-09-22T22:56:40Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:39Z,2026-09-22T22:56:40Z
179,min-aung-hlaing,Min Aung Hlaing,person,,"Chairman, Myanmar State Administration Council",,MM,MM,,,,,,published,2026-09-22T22:56:41Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:41Z,2026-09-22T22:56:41Z
180,myanmar-military,Myanmar military (Tatmadaw),body,law_enforcement,Armed forces and ruling junta since the February 2021 coup,,MM,MM,,,,,,published,2026-09-22T22:56:43Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:42Z,2026-09-22T22:56:43Z
181,alexander-lukashenko,Alexander Lukashenko,person,,President of Belarus,,BY,BY,,,,,,published,2026-09-22T22:56:44Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:44Z,2026-09-22T22:56:44Z
182,belarusian-ministry-of-information,Belarusian Ministry of Information,body,agency,Government information ministry,,BY,BY,,,,,,published,2026-09-22T22:56:46Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:45Z,2026-09-22T22:56:46Z
183,indian-income-tax-department,Indian Income Tax Department,body,regulator,Tax authority,,IN,IN,,,,,,published,2026-09-22T22:56:47Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:46Z,2026-09-22T22:56:47Z
184,ministry-of-electronics-and-information-technology-india,Ministry of Electronics and Information Technology (India),body,agency,Ministry that issued the IT Rules amendment creating the Fact Check Unit,,IN,IN,,,,,,published,2026-09-22T22:56:48Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:48Z,2026-09-22T22:56:48Z
185,alejandro-giammattei,Alejandro Giammattei,person,,"President of Guatemala, 2020-2024",,GT,GT,,,,,,published,2026-09-22T22:56:50Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:49Z,2026-09-22T22:56:50Z
186,guatemalan-public-ministry,Guatemalan Public Ministry,body,executive_office,Public prosecutor's office,,GT,GT,,,,,,published,2026-09-22T22:56:51Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:50Z,2026-09-22T22:56:51Z
187,daniel-ortega,Daniel Ortega,person,,President of Nicaragua,,NI,NI,,,,,,published,2026-09-22T22:56:52Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:52Z,2026-09-22T22:56:52Z
188,nicaraguan-court-of-appeals,Nicaraguan Court of Appeals,body,court,Appellate court that issued the citizenship-stripping rulings,,NI,NI,,,,,,published,2026-09-22T22:56:54Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:53Z,2026-09-22T22:56:54Z
189,robert-fico,Robert Fico,person,,Prime Minister of Slovakia,,SK,SK,,,,,,published,2026-09-22T22:56:55Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:55Z,2026-09-22T22:56:55Z
190,slovak-parliament,National Council of the Slovak Republic,body,legislature,National legislature,,SK,SK,,,,,,published,2026-09-22T22:56:57Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:56Z,2026-09-22T22:56:57Z
191,irakli-kobakhidze,Irakli Kobakhidze,person,,Prime Minister of Georgia,,GE,GE,,,,,,published,2026-09-22T22:56:58Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:58Z,2026-09-22T22:56:58Z
192,georgian-parliament,Parliament of Georgia,body,legislature,National legislature,,GE,GE,,,,,,published,2026-09-22T22:57:00Z,2026-09-22,2026-12-22,1,2026-09-22T22:56:59Z,2026-09-22T22:57:00Z
193,hong-kong-district-court,Hong Kong District Court,body,court,Trial court,,HK,HK,,,,,,published,2026-09-22T22:57:01Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:01Z,2026-09-22T22:57:01Z
194,javier-milei,Javier Milei,person,,President of Argentina,,AR,AR,,,,,,published,2026-09-22T22:57:02Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:02Z,2026-09-22T22:57:02Z
195,aleksandar-vucic,Aleksandar Vucic,person,,President of Serbia,,RS,RS,,,,,,published,2026-09-22T22:57:04Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:03Z,2026-09-22T22:57:04Z
196,serbian-ministry-of-interior,Serbian Ministry of the Interior,body,law_enforcement,Ministry overseeing police,,RS,RS,,,,,,published,2026-09-22T22:57:05Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:05Z,2026-09-22T22:57:05Z
197,abiy-ahmed,Abiy Ahmed,person,,Prime Minister of Ethiopia,,ET,ET,,,,,,published,2026-09-22T22:57:06Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:06Z,2026-09-22T22:57:06Z
198,ethiopian-media-authority,Ethiopian Media Authority,body,regulator,Broadcast and media regulator,,ET,ET,,,,,,published,2026-09-22T22:57:08Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:07Z,2026-09-22T22:57:08Z
199,shehbaz-sharif,Shehbaz Sharif,person,,Prime Minister of Pakistan,,PK,PK,,,,,,published,2026-09-22T22:57:09Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:08Z,2026-09-22T22:57:09Z
200,parliament-of-pakistan,Parliament of Pakistan,body,legislature,National legislature,,PK,PK,,,,,,published,2026-09-22T22:57:10Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:10Z,2026-09-22T22:57:10Z
201,muhammad-yunus,Muhammad Yunus,person,,"Chief Adviser, interim government of Bangladesh",,BD,BD,,,,,,published,2026-09-22T22:57:12Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:11Z,2026-09-22T22:57:12Z
202,venezuelan-national-guard,Venezuelan National Guard (GNB),body,law_enforcement,Military internal security force,,VE,VE,,,,,,published,2026-09-22T22:57:13Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:13Z,2026-09-22T22:57:13Z
203,turkish-center-for-combating-disinformation,Turkish Center for Combating Disinformation,body,other,Government body that disputes reporting it deems false,,TR,TR,,,,,,published,2026-09-22T22:57:15Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:14Z,2026-09-22T22:57:15Z
204,kais-saied,Kais Saied,person,,President of Tunisia,,TN,TN,,,,,,published,2026-09-22T22:57:16Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:15Z,2026-09-22T22:57:16Z
205,samia-suluhu-hassan,Samia Suluhu Hassan,person,,President of Tanzania,,TZ,TZ,,,,,,published,2026-09-22T22:57:17Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:16Z,2026-09-22T22:57:17Z
206,tanzania-communications-regulatory-authority,Tanzania Communications Regulatory Authority,body,regulator,Telecommunications regulator,,TZ,TZ,,,,,,published,2026-09-22T22:57:18Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:18Z,2026-09-22T22:57:18Z
207,australian-federal-police,Australian Federal Police,body,law_enforcement,National police force,,AU,AU,,,,,,published,2026-09-22T22:57:20Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:19Z,2026-09-22T22:57:20Z
208,xi-jinping,Xi Jinping,person,,President of China,,CN,CN,,,,,,published,2026-09-22T22:57:21Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:20Z,2026-09-22T22:57:21Z
209,chinese-ministry-of-foreign-affairs,Chinese Ministry of Foreign Affairs,body,agency,Foreign ministry,,CN,CN,,,,,,published,2026-09-22T22:57:22Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:22Z,2026-09-22T22:57:22Z
210,emmerson-mnangagwa,Emmerson Mnangagwa,person,,President of Zimbabwe,,ZW,ZW,,,,,,published,2026-09-22T22:57:24Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:23Z,2026-09-22T22:57:24Z
211,parliament-of-zimbabwe,Parliament of Zimbabwe,body,legislature,National legislature,,ZW,ZW,,,,,,published,2026-09-22T22:57:25Z,2026-09-22,2026-12-22,1,2026-09-22T22:57:24Z,2026-09-22T22:57:25Z
